"Step","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MAX"
"490","0","0","0","0","0","0","50","50","50","0","0","0","100","100","100","0","0","0","100","100","100","170","170","170","0","0","0","100","100","100","120","120","120","100","100","100"
"495","30","30","30","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","70","70","70","0","0","0","100","100","100","200","200","200","90","90","90"
"500","70","70","70","160","160","160","200","200","200","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","170","170","170","0","0","0","0","0","0"
"505","280","280","280","0","0","0","70","70","70","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","110","110","110","0","0","0","100","100","100"
"510","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","30","30","30","200","200","200","0","0","0","180","180","180","0","0","0","0","0","0"
"515","280","280","280","100","100","100","180","180","180","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","60","60","60","90","90","90","250","250","250","200","200","200"
"520","70","70","70","0","0","0","0","0","0","100","100","100","80","80","80","0","0","0","0","0","0","0","0","0","0","0","0","170","170","170","100","100","100","110","110","110"
"525","250","250","250","0","0","0","0","0","0","90","90","90","100","100","100","0","0","0","200","200","200","90","90","90","100","100","100","100","100","100","100","100","100","0","0","0"
"530","310","310","310","0","0","0","0","0","0","100","100","100","60","60","60","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","50","50","50","40","40","40"
"535","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","100","100","100","90","90","90","0","0","0","0","0","0","0","0","0","100","100","100"
"540","0","0","0","20","20","20","100","100","100","10","10","10","60","60","60","0","0","0","100","100","100","200","200","200","0","0","0","100","100","100","40","40","40","180","180","180"
"545","0","0","0","40","40","40","90","90","90","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","150","150","150","50","50","50","100","100","100"
"550","240","240","240","70","70","70","120","120","120","0","0","0","0","0","0","0","0","0","200","200","200","180","180","180","90","90","90","60","60","60","100","100","100","120","120","120"
"555","280","280","280","160","160","160","130","130","130","60","60","60","0","0","0","0","0","0","300","300","300","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0"
"560","350","350","350","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","80","80","80","160","160","160","100","100","100"
"565","0","0","0","0","0","0","20","20","20","0","0","0","0","0","0","0","0","0","100","100","100","260","260","260","0","0","0","200","200","200","200","200","200","100","100","100"
"570","0","0","0","0","0","0","150","150","150","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","40","40","40","40","40","40"
"575","0","0","0","0","0","0","180","180","180","0","0","0","100","100","100","0","0","0","100","100","100","30","30","30","0","0","0","30","30","30","70","70","70","160","160","160"
"580","160","160","160","0","0","0","200","200","200","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","90","90","90"
"585","380","380","380","90","90","90","180","180","180","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","130","130","130","100","100","100","0","0","0","0","0","0"
"590","0","0","0","0","0","0","110","110","110","0","0","0","0","0","0","0","0","0","100","100","100","10","10","10","0","0","0","30","30","30","0","0","0","160","160","160"
"595","10","10","10","0","0","0","180","180","180","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","180","180","180","0","0","0","20","20","20"
"600","210","210","210","0","0","0","100","100","100","0","0","0","0","0","0","90","90","90","140","140","140","200","200","200","0","0","0","200","200","200","0","0","0","100","100","100"
"605","280","280","280","20","20","20","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","200","200","200","0","0","0","10","10","10","0","0","0","100","100","100"
"610","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","190","190","190","0","0","0","10","10","10","190","190","190","140","140","140","100","100","100"
"615","0","0","0","30","30","30","10","10","10","0","0","0","80","80","80","100","100","100","130","130","130","200","200","200","0","0","0","160","160","160","200","200","200","100","100","100"
"620","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","200","200","200","100","100","100","180","180","180","160","160","160","200","200","200","0","0","0"
"625","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","20","20","20","120","120","120","160","160","160","0","0","0"
"630","0","0","0","0","0","0","150","150","150","0","0","0","100","100","100","0","0","0","100","100","100","180","180","180","0","0","0","200","200","200","100","100","100","60","60","60"
"635","250","250","250","240","240","240","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","20","20","20","100","100","100","130","130","130","100","100","100"
"640","250","250","250","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","40","40","40","200","200","200","0","0","0","100","100","100","0","0","0","190","190","190"
"645","250","250","250","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","300","300","300","200","200","200","70","70","70","180","180","180","100","100","100","100","100","100"
"650","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","200","200","200","0","0","0","200","200","200","70","70","70","100","100","100"
"655","0","0","0","100","100","100","20","20","20","0","0","0","100","100","100","0","0","0","240","240","240","230","230","230","100","100","100","200","200","200","140","140","140","100","100","100"
"660","0","0","0","10","10","10","0","0","0","0","0","0","100","100","100","10","10","10","170","170","170","100","100","100","0","0","0","100","100","100","210","210","210","40","40","40"
"665","200","200","200","0","0","0","0","0","0","0","0","0","0","0","0","90","90","90","20","20","20","0","0","0","70","70","70","100","100","100","100","100","100","0","0","0"
"670","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","200","200","200","100","100","100","100","100","100","60","60","60","100","100","100","100","100","100"
"675","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","140","140","140","100","100","100","0","0","0","90","90","90","100","100","100","100","100","100"
"680","20","20","20","110","110","110","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","190","190","190","20","20","20","220","220","220","280","280","280","100","100","100"
"685","70","70","70","20","20","20","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","80","80","80","0","0","0","120","120","120","170","170","170","200","200","200"
"690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","150","150","100","100","100","0","0","0","100","100","100","0","0","0","120","120","120"
"695","0","0","0","0","0","0","30","30","30","100","100","100","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","0","0","0","180","180","180"
"700","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","0","0","0","100","100","100","300","300","300","100","100","100","100","100","100","200","200","200","0","0","0"
"705","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","190","190","190","0","0","0","100","100","100","0","0","0","80","80","80"
"710","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","0","0","0","0","0","0","80","80","80","0","0","0","100","100","100"
"715","0","0","0","0","0","0","110","110","110","0","0","0","0","0","0","260","260","260","180","180","180","0","0","0","80","80","80","120","120","120","0","0","0","130","130","130"
"720","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","130","130","130","0","0","0","100","100","100","0","0","0","250","250","250"
"725","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","200","200","200","50","50","50","0","0","0","150","150","150","100","100","100","0","0","0"
"730","0","0","0","0","0","0","170","170","170","90","90","90","0","0","0","0","0","0","100","100","100","200","200","200","0","0","0","120","120","120","100","100","100","200","200","200"
"735","0","0","0","0","0","0","260","260","260","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","220","220","220","0","0","0","100","100","100"
"740","0","0","0","0","0","0","200","200","200","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","70","70","70","30","30","30","100","100","100","0","0","0"
"745","0","0","0","0","0","0","210","210","210","80","80","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","100","100","100","0","0","0"
"750","0","0","0","0","0","0","300","300","300","0","0","0","110","110","110","100","100","100","90","90","90","0","0","0","110","110","110","100","100","100","100","100","100","100","100","100"
"755","0","0","0","0","0","0","310","310","310","100","100","100","100","100","100","100","100","100","100","100","100","20","20","20","0","0","0","100","100","100","100","100","100","100","100","100"
"760","0","0","0","0","0","0","190","190","190","0","0","0","100","100","100","0","0","0","200","200","200","0","0","0","100","100","100","200","200","200","100","100","100","170","170","170"
"765","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","80","80","80","0","0","0","200","200","200","100","100","100","100","100","100","30","30","30"
"770","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","70","70","70","0","0","0","100","100","100","300","300","300","0","0","0","110","110","110"
"775","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","60","60","60","110","110","110","0","0","0","100","100","100"
"780","0","0","0","0","0","0","110","110","110","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","240","240","240","140","140","140"
"785","0","0","0","0","0","0","100","100","100","0","0","0","130","130","130","0","0","0","90","90","90","0","0","0","0","0","0","100","100","100","80","80","80","10","10","10"
"790","0","0","0","60","60","60","100","100","100","100","100","100","20","20","20","0","0","0","200","200","200","0","0","0","30","30","30","200","200","200","0","0","0","120","120","120"
"795","50","50","50","0","0","0","210","210","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","170","170","100","100","100","60","60","60"
"800","0","0","0","0","0","0","300","300","300","0","0","0","100","100","100","70","70","70","100","100","100","100","100","100","0","0","0","170","170","170","100","100","100","100","100","100"
"805","0","0","0","0","0","0","260","260","260","0","0","0","100","100","100","0","0","0","210","210","210","0","0","0","90","90","90","90","90","90","100","100","100","0","0","0"
"810","0","0","0","40","40","40","170","170","170","0","0","0","100","100","100","0","0","0","240","240","240","0","0","0","0","0","0","100","100","100","0","0","0","10","10","10"
"815","0","0","0","40","40","40","140","140","140","0","0","0","0","0","0","0","0","0","90","90","90","0","0","0","100","100","100","140","140","140","210","210","210","200","200","200"
"820","270","270","270","0","0","0","140","140","140","0","0","0","100","100","100","40","40","40","0","0","0","0","0","0","0","0","0","200","200","200","100","100","100","140","140","140"
"825","0","0","0","0","0","0","30","30","30","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","200","200","200","20","20","20","100","100","100","50","50","50"
"830","0","0","0","10","10","10","40","40","40","0","0","0","100","100","100","0","0","0","250","250","250","0","0","0","0","0","0","100","100","100","130","130","130","100","100","100"
"835","300","300","300","0","0","0","270","270","270","0","0","0","100","100","100","0","0","0","80","80","80","0","0","0","0","0","0","0","0","0","60","60","60","100","100","100"
"840","0","0","0","40","40","40","240","240","240","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","50","50","50","20","20","20","100","100","100"
"845","0","0","0","140","140","140","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","40","40","40","120","120","120","0","0","0","100","100","100"
"850","70","70","70","0","0","0","170","170","170","0","0","0","100","100","100","20","20","20","100","100","100","0","0","0","0","0","0","100","100","100","40","40","40","240","240","240"
"855","0","0","0","0","0","0","150","150","150","0","0","0","90","90","90","100","100","100","100","100","100","100","100","100","0","0","0","100","100","100","100","100","100","220","220","220"
"860","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","300","300","190","190","190","100","100","100","0","0","0","70","70","70","100","100","100"
"865","0","0","0","0","0","0","260","260","260","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","40","40","40","100","100","100","200","200","200","20","20","20"
"870","0","0","0","0","0","0","290","290","290","0","0","0","100","100","100","0","0","0","200","200","200","100","100","100","0","0","0","100","100","100","190","190","190","40","40","40"
"875","10","10","10","0","0","0","280","280","280","90","90","90","100","100","100","0","0","0","180","180","180","100","100","100","0","0","0","270","270","270","300","300","300","100","100","100"
"880","70","70","70","0","0","0","260","260","260","0","0","0","100","100","100","0","0","0","30","30","30","0","0","0","0","0","0","200","200","200","0","0","0","50","50","50"
"885","80","80","80","0","0","0","10","10","10","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","10","10","10","10","10","10","0","0","0","170","170","170"
"890","160","160","160","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","30","30","30","100","100","100","100","100","100","30","30","30"
"895","100","100","100","0","0","0","230","230","230","100","100","100","100","100","100","0","0","0","30","30","30","100","100","100","0","0","0","120","120","120","100","100","100","70","70","70"
"900","100","100","100","0","0","0","20","20","20","200","200","200","0","0","0","0","0","0","100","100","100","100","100","100","90","90","90","140","140","140","130","130","130","0","0","0"
"905","100","100","100","0","0","0","90","90","90","50","50","50","100","100","100","0","0","0","110","110","110","100","100","100","0","0","0","260","260","260","300","300","300","120","120","120"
"910","100","100","100","0","0","0","100","100","100","50","50","50","10","10","10","100","100","100","0","0","0","110","110","110","100","100","100","130","130","130","0","0","0","100","100","100"
"915","100","100","100","20","20","20","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","90","90","0","0","0","100","100","100"
"920","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","10","10","10","100","100","100","0","0","0","200","200","200","120","120","120","10","10","10"
"925","100","100","100","0","0","0","200","200","200","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","110","110","110","100","100","100","100","100","100"
"930","100","100","100","0","0","0","110","110","110","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","80","80","80","10","10","10"
"935","100","100","100","0","0","0","50","50","50","0","0","0","90","90","90","0","0","0","0","0","0","100","100","100","0","0","0","70","70","70","200","200","200","200","200","200"
"940","100","100","100","0","0","0","150","150","150","0","0","0","0","0","0","0","0","0","0","0","0","10","10","10","100","100","100","100","100","100","200","200","200","120","120","120"
"945","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","30","30","230","230","230","110","110","110","100","100","100"
"950","60","60","60","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","20","20","20","0","0","0","0","0","0","200","200","200","0","0","0","110","110","110"
"955","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","240","240","240","100","100","100","200","200","200","100","100","100"
"960","100","100","100","0","0","0","300","300","300","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","10","10","10","160","160","160","100","100","100"
"965","100","100","100","0","0","0","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","200","200","200","0","0","0","100","100","100","190","190","190","40","40","40"
"970","40","40","40","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","0","0","0","80","80","80","130","130","130","180","180","180"
"975","100","100","100","90","90","90","190","190","190","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","20","20","20","100","100","100"
"980","90","90","90","0","0","0","100","100","100","10","10","10","0","0","0","100","100","100","0","0","0","10","10","10","100","100","100","100","100","100","160","160","160","0","0","0"
"985","170","170","170","0","0","0","200","200","200","40","40","40","20","20","20","0","0","0","0","0","0","0","0","0","40","40","40","100","100","100","300","300","300","0","0","0"
"990","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","20","20","20","100","100","100","200","200","200","100","100","100","80","80","80"
"995","0","0","0","0","0","0","170","170","170","100","100","100","100","100","100","0","0","0","0","0","0","30","30","30","0","0","0","100","100","100","100","100","100","100","100","100"
"1000","130","130","130","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","200","200","200","130","130","130"
"1005","0","0","0","0","0","0","20","20","20","0","0","0","0","0","0","0","0","0","0","0","0","60","60","60","0","0","0","10","10","10","0","0","0","10","10","10"
"1010","100","100","100","0","0","0","90","90","90","0","0","0","0","0","0","0","0","0","0","0","0","90","90","90","0","0","0","200","200","200","100","100","100","30","30","30"
"1015","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","60","60","60","100","100","100","150","150","150","100","100","100","100","100","100"
"1020","0","0","0","0","0","0","220","220","220","0","0","0","0","0","0","0","0","0","100","100","100","10","10","10","60","60","60","200","200","200","20","20","20","20","20","20"
"1025","0","0","0","0","0","0","40","40","40","40","40","40","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","140","140","140","0","0","0","100","100","100"
"1030","10","10","10","0","0","0","30","30","30","100","100","100","0","0","0","0","0","0","0","0","0","240","240","240","0","0","0","200","200","200","100","100","100","110","110","110"
"1035","0","0","0","0","0","0","120","120","120","0","0","0","100","100","100","0","0","0","0","0","0","110","110","110","0","0","0","100","100","100","190","190","190","220","220","220"
"1040","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","60","60","60","100","100","100","200","200","200","100","100","100","100","100","100"
"1045","0","0","0","40","40","40","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","200","200","200","0","0","0","100","100","100","0","0","0","200","200","200"
"1050","0","0","0","60","60","60","0","0","0","0","0","0","100","100","100","0","0","0","10","10","10","0","0","0","0","0","0","100","100","100","0","0","0","200","200","200"
"1055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","20","100","100","100","10","10","10","100","100","100","80","80","80"
"1060","70","70","70","0","0","0","0","0","0","100","100","100","20","20","20","0","0","0","0","0","0","270","270","270","0","0","0","200","200","200","100","100","100","100","100","100"
"1065","90","90","90","0","0","0","60","60","60","100","100","100","0","0","0","0","0","0","0","0","0","30","30","30","0","0","0","130","130","130","0","0","0","290","290","290"
"1070","100","100","100","0","0","0","20","20","20","90","90","90","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","80","80","80","100","100","100"
"1075","380","380","380","0","0","0","10","10","10","0","0","0","100","100","100","0","0","0","0","0","0","220","220","220","100","100","100","100","100","100","40","40","40","0","0","0"
"1080","230","230","230","0","0","0","40","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","150","150","150","30","30","30"
"1085","150","150","150","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","60","60","60","70","70","70","0","0","0"
"1090","110","110","110","0","0","0","20","20","20","0","0","0","0","0","0","0","0","0","0","0","0","30","30","30","0","0","0","40","40","40","200","200","200","0","0","0"
"1095","100","100","100","0","0","0","50","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","130","130","100","100","100","150","150","150"
"1100","10","10","10","0","0","0","200","200","200","0","0","0","230","230","230","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","130","130","130","90","90","90"
"1105","100","100","100","0","0","0","180","180","180","0","0","0","200","200","200","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","140","140","140","0","0","0"
"1110","20","20","20","0","0","0","320","320","320","0","0","0","200","200","200","0","0","0","0","0","0","190","190","190","100","100","100","0","0","0","70","70","70","100","100","100"
"1115","10","10","10","0","0","0","0","0","0","0","0","0","210","210","210","0","0","0","70","70","70","290","290","290","80","80","80","100","100","100","100","100","100","40","40","40"
"1120","0","0","0","0","0","0","100","100","100","0","0","0","240","240","240","0","0","0","300","300","300","120","120","120","0","0","0","40","40","40","0","0","0","70","70","70"
"1125","0","0","0","0","0","0","50","50","50","50","50","50","180","180","180","0","0","0","300","300","300","150","150","150","0","0","0","280","280","280","260","260","260","110","110","110"
"1130","0","0","0","0","0","0","40","40","40","0","0","0","100","100","100","0","0","0","10","10","10","270","270","270","0","0","0","0","0","0","100","100","100","200","200","200"
"1135","0","0","0","10","10","10","50","50","50","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","10","10","10","100","100","100","200","200","200","0","0","0"
"1140","0","0","0","10","10","10","110","110","110","0","0","0","100","100","100","0","0","0","0","0","0","40","40","40","0","0","0","0","0","0","200","200","200","70","70","70"
"1145","100","100","100","90","90","90","100","100","100","0","0","0","140","140","140","0","0","0","0","0","0","100","100","100","200","200","200","80","80","80","100","100","100","100","100","100"
"1150","0","0","0","100","100","100","100","100","100","0","0","0","180","180","180","0","0","0","0","0","0","130","130","130","0","0","0","170","170","170","100","100","100","150","150","150"
"1155","60","60","60","100","100","100","100","100","100","90","90","90","170","170","170","0","0","0","0","0","0","100","100","100","40","40","40","120","120","120","140","140","140","90","90","90"
"1160","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","0","0","0","0","0","0","70","70","70","0","0","0","30","30","30","100","100","100","100","100","100"
"1165","100","100","100","100","100","100","100","100","100","0","0","0","240","240","240","0","0","0","0","0","0","160","160","160","0","0","0","140","140","140","100","100","100","0","0","0"
"1170","70","70","70","100","100","100","300","300","300","0","0","0","10","10","10","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","70","70","70","90","90","90"
"1175","10","10","10","100","100","100","90","90","90","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","30","30","30","0","0","0","200","200","200","50","50","50"
"1180","0","0","0","100","100","100","50","50","50","0","0","0","190","190","190","100","100","100","0","0","0","100","100","100","0","0","0","110","110","110","100","100","100","100","100","100"
"1185","100","100","100","100","100","100","110","110","110","0","0","0","90","90","90","0","0","0","0","0","0","0","0","0","110","110","110","320","320","320","190","190","190","40","40","40"
"1190","0","0","0","100","100","100","70","70","70","0","0","0","110","110","110","60","60","60","0","0","0","0","0","0","0","0","0","100","100","100","200","200","200","130","130","130"
"1195","40","40","40","270","270","270","0","0","0","0","0","0","100","100","100","0","0","0","20","20","20","100","100","100","100","100","100","170","170","170","0","0","0","20","20","20"
"1200","0","0","0","320","320","320","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","210","210","210","0","0","0","100","100","100","100","100","100","110","110","110"
"1205","0","0","0","100","100","100","0","0","0","0","0","0","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","220","220","220","20","20","20","100","100","100"
"1210","140","140","140","100","100","100","0","0","0","0","0","0","100","100","100","70","70","70","0","0","0","100","100","100","0","0","0","300","300","300","100","100","100","150","150","150"
"1215","30","30","30","0","0","0","40","40","40","80","80","80","100","100","100","80","80","80","0","0","0","10","10","10","50","50","50","300","300","300","110","110","110","120","120","120"
"1220","0","0","0","120","120","120","90","90","90","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","220","220","220","50","50","50"
"1225","0","0","0","100","100","100","180","180","180","0","0","0","100","100","100","0","0","0","140","140","140","0","0","0","90","90","90","40","40","40","0","0","0","0","0","0"
"1230","0","0","0","100","100","100","200","200","200","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","20","20","20","10","10","10","0","0","0","0","0","0"
"1235","130","130","130","100","100","100","60","60","60","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","300","300","300","100","100","100","40","40","40"
"1240","100","100","100","100","100","100","90","90","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","130","130","100","100","100","160","160","160","90","90","90"
"1245","100","100","100","90","90","90","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","70","70","70"
"1250","0","0","0","90","90","90","10","10","10","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","110","110","110","100","100","100","100","100","100"
"1255","0","0","0","130","130","130","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","80","80","80","200","200","200","90","90","90","100","100","100"
"1260","0","0","0","90","90","90","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","90","90","90","100","100","100","100","100","100","100","100","100","110","110","110"
"1265","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"1270","130","130","130","30","30","30","0","0","0","0","0","0","100","100","100","0","0","0","80","80","80","0","0","0","140","140","140","110","110","110","20","20","20","0","0","0"
