"Step","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MAX"
"135","0","0","0","220","220","220","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","140","140","140","100","100","100","200","200","200"
"140","0","0","0","0","0","0","200","200","200","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0"
"145","100","100","100","10","10","10","60","60","60","0","0","0","0","0","0","0","0","0","100","100","100","200","200","200","0","0","0","100","100","100","0","0","0","200","200","200"
"150","100","100","100","0","0","0","270","270","270","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","240","240","240","20","20","20","70","70","70"
"155","100","100","100","0","0","0","110","110","110","0","0","0","100","100","100","0","0","0","0","0","0","120","120","120","80","80","80","100","100","100","200","200","200","10","10","10"
"160","100","100","100","0","0","0","250","250","250","0","0","0","40","40","40","100","100","100","90","90","90","100","100","100","30","30","30","0","0","0","180","180","180","0","0","0"
"165","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100","190","190","190"
"170","100","100","100","50","50","50","200","200","200","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","190","190","190"
"175","100","100","100","30","30","30","100","100","100","0","0","0","60","60","60","0","0","0","110","110","110","100","100","100","140","140","140","100","100","100","100","100","100","100","100","100"
"180","0","0","0","120","120","120","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","120","120","120","180","180","180","100","100","100","100","100","100"
"185","100","100","100","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","110","110","110","90","90","90","110","110","110"
"190","100","100","100","100","100","100","190","190","190","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","120","120","120","100","100","100"
"195","100","100","100","230","230","230","100","100","100","0","0","0","100","100","100","10","10","10","0","0","0","100","100","100","290","290","290","100","100","100","200","200","200","180","180","180"
"200","10","10","10","60","60","60","100","100","100","0","0","0","30","30","30","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100"
"205","0","0","0","140","140","140","30","30","30","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","190","190","190","120","120","120","300","300","300","40","40","40"
"210","0","0","0","100","100","100","20","20","20","0","0","0","0","0","0","0","0","0","10","10","10","200","200","200","100","100","100","0","0","0","230","230","230","140","140","140"
"215","200","200","200","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","200","200","200","100","100","100","120","120","120","190","190","190","0","0","0","80","80","80"
"220","50","50","50","280","280","280","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"225","0","0","0","0","0","0","300","300","300","0","0","0","0","0","0","0","0","0","0","0","0","210","210","210","140","140","140","0","0","0","200","200","200","120","120","120"
"230","100","100","100","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","90","90","90"
"235","100","100","100","0","0","0","70","70","70","0","0","0","100","100","100","30","30","30","100","100","100","180","180","180","50","50","50","210","210","210","0","0","0","100","100","100"
"240","100","100","100","130","130","130","90","90","90","0","0","0","100","100","100","100","100","100","0","0","0","140","140","140","0","0","0","200","200","200","100","100","100","100","100","100"
"245","100","100","100","140","140","140","10","10","10","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","120","120","120","100","100","100","0","0","0","180","180","180"
"250","100","100","100","100","100","100","10","10","10","0","0","0","0","0","0","0","0","0","70","70","70","0","0","0","0","0","0","110","110","110","80","80","80","140","140","140"
"255","100","100","100","220","220","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","150","150","0","0","0","80","80","80","0","0","0","190","190","190"
